region,2014,2015,2016,2017,2018,2019,2020,2021
United States,17550687,18206023,18695106,19479623,20527159,21372582,20893746,22996086
Alabama,197406.9,202372.4,207368.4,215085.9,224046.9,231171.8,226896.5,247092.5
Alaska,56484.9,51490.9,50727.7,53089.3,54711.7,54547.1,49820,54970.1
Arizona,287666.6,299393.3,313081.4,330416.1,349907.5,369988.2,373719,411191.8
Arkansas,116139.4,117786.8,119152.4,122350.2,127306.5,130839.9,130750.7,144545.4
California,2335286.5,2473555.9,2569634,2730973.9,2895101,3052645.2,3007187.7,3356631.4
Colorado,309542.6,320721.1,329911.7,348898.1,371424.6,392218,382584.7,421941.4
Connecticut,246597,259487.8,263670.3,271582.6,280692,288109.1,276422.9,296497.6
Delaware,68354.7,71913.9,69355,68763.8,72488,77042.2,75786.5,80718.2
District of Columbia,119414.6,124604.7,129648.6,133391.2,139784.8,144405.7,144554.8,152007.9
Florida,851692.4,908519.9,953352.5,1002568.1,1057862.3,1116435.4,1106035.5,1226297.5
Georgia,490079.3,521008.2,547546.7,574404.4,602340.1,637798.7,622627.8,683302.1
Hawaii,76773.3,81230.3,83914.4,87177.8,90276.4,91781.1,82884.6,90059.4
Idaho,64575.2,65899.9,68837.4,71688.4,77493.9,82420.1,83821.6,94316.8
Illinois,771356.1,799930.5,807043.2,827075.2,867535.5,890486.1,858366.9,938347.3
Indiana,327958.3,331945.7,340500.7,353150.3,373518.4,381020.3,375336.7,420339.2
Iowa,173095.9,180299.3,181011.4,183549.8,190403.1,194322.6,194267.6,219841.7
Kansas,150183.6,154958.2,160451,164923.3,172327.5,176738.5,175141.8,192303.6
Kentucky,187983.8,193413.1,196484.9,201555,208250.3,216101.5,212539.6,234498.2
Louisiana,240737.3,235113.5,227090.7,241704.2,255810.3,254562,235437.4,255306.6
Maine,56410.8,58131.3,60254.4,62412.9,65491.9,68452.9,69271.8,76057.2
Maryland,352761.3,369728.1,387733.4,400406,411099.8,421609.5,410674.7,438234.9
Massachusetts,470468.5,498851.3,514637.6,532354.3,564047.3,593256.7,582476.8,636514.3
Michigan,451773.2,474983.3,490264,501751.6,520802.6,531434.6,515119.9,568413.2
Minnesota,324751.4,335530.2,344060.8,354684.2,373419.5,383039.6,373739.3,412000.8
Mississippi,104300.3,105914.6,107291.4,109962.5,112406.8,114733.8,113845.7,125110
Missouri,287507.5,296929.3,300914.5,308722.1,319393.9,332272.9,329367.2,359952
Montana,45177.2,46604.1,45490.9,48439.5,50903.8,51789.3,51508.8,59302.8
Nebraska,111945.9,116514.6,118145.9,121946.3,126922.7,131352.4,133439,150387.7
Nevada,136008.7,145115.9,151840.4,160785,170352.9,181743.3,170943.8,192963.8
New Hampshire,72995.2,76478,79090.1,80665.9,83844,87507.6,87621,98241.8
New Jersey,542842.8,563233.8,575501,586374.6,613508.7,639436.7,618579.3,672089.4
New Mexico,92185.7,90274.3,89769.4,92311.1,97269.2,101971.5,98472.1,108928
New York,1430923.3,1487627.6,1551354.1,1603903.4,1694957.9,1777751.8,1724759.1,1853925.9
North Carolina,483191.3,508928.7,526029.8,549670.6,569981.7,595655.4,589829,654985.7
North Dakota,59926.3,55996.9,51989.2,55228,59092.6,59004.5,54854.2,63386.8
Ohio,595640.9,611019.5,623265.3,641745.8,666973.9,693199.3,677561.2,736449.8
Oklahoma,196631.6,186815.6,181244.4,190674.5,202466.6,203699.7,188056.6,206750.5
Oregon,188120.7,200659.6,211305.9,222613.8,237066,246647.1,243776.8,266943.1
Pennsylvania,694142.6,714202.9,726561.9,745011.3,772611.4,799686.2,771897.9,839436.5
Rhode Island,54559.7,56390.8,57353.5,57940.8,59129,61319.1,60556.3,65939.2
South Carolina,194352.7,205816.7,215120.2,223044.9,233665.3,244662.3,244881.7,270079
South Dakota,46785.4,48070.2,49151.4,50299.4,52404.3,53939.9,54789.4,61205.5
Tennessee,306153.1,325294,336413.9,349837.7,361381.5,376916.5,369574.3,418294.2
Texas,1579299.5,1573498.4,1579014.9,1677110.9,1809706.4,1863953.8,1775587.8,1985318.5
Utah,142150.1,149153.4,157827.3,168058.4,182643.6,195088.4,197561.9,220342
Vermont,30099.4,30933.3,31661.2,32246.9,33032.7,34127.5,33435,36170.1
Virginia,465181.8,483786.5,496021.1,509892.8,531757.1,554305.8,549535.8,591851
Washington,440648,466689.7,487275.1,519942.9,564480.7,597873.8,604253.8,667576.8
West Virginia,72648.2,71318.5,70924.4,74799.5,79044.8,79139.7,75855,87394.5
Wisconsin,295696,307507.9,314073.3,318364.2,332263.5,344724.8,337714,365931.3
Wyoming,40310.6,38426.9,35879,36863.7,39032.3,39600.8,36323.5,41622.4
New England,931130.6,980272.5,1006667.1,1037203.4,1086236.9,1132773,1109783.9,1209420.3
Mideast,3208439.4,3331311,3440153.9,3537850.3,3704450.5,3859932,3746252.2,4036412.9
Great Lakes,2442424.5,2525386.8,2575146.5,2642087.1,2761093.9,2840865.1,2764098.7,3029480.8
Plains,1154195.9,1188298.6,1205724.3,1239353,1293963.6,1330670.5,1315598.5,1459078.1
Southeast,3709866.4,3879272.9,4002796.3,4174875.8,4363853.6,4552322.9,4477809,4938756.7
Southwest,2155783.4,2149981.6,2163110.1,2290512.6,2459349.7,2539613.3,2435835.6,2712188.7
Rocky Mountain,601755.7,620805.3,637946.3,673948.1,721498.1,761116.7,751800.5,837525.5
Far West,3233322,3418742.3,3554697.4,3774582.7,4011988.7,4225237.6,4158866.7,4629144.6
