region,2014,2015,2016,2017,2018,2019,2020,2021
United States,0.059,0.051,0.047,0.042,0.037,0.035,0.079,0.048
Alabama,0.063,0.061,0.06,0.039,0.038,0.027,0.067,0.031
Alaska,0.068,0.065,0.066,0.072,0.065,0.062,0.07,0.063
Arizona,0.066,0.059,0.051,0.047,0.048,0.046,0.069,0.057
Arkansas,0.058,0.05,0.04,0.037,0.036,0.036,0.059,0.04
California,0.073,0.06,0.053,0.045,0.041,0.039,0.106,0.075
Colorado,0.045,0.036,0.032,0.03,0.035,0.026,0.07,0.056
Connecticut,0.063,0.053,0.048,0.045,0.039,0.037,0.083,0.068
Delaware,0.055,0.049,0.043,0.045,0.036,0.039,0.076,0.054
District of Columbia,0.078,0.067,0.059,0.06,0.054,0.053,0.087,0.066
Florida,0.058,0.051,0.049,0.039,0.033,0.029,0.072,0.048
Georgia,0.069,0.056,0.054,0.045,0.037,0.032,0.065,0.033
Hawaii,0.042,0.034,0.03,0.022,0.026,0.027,0.148,0.066
Idaho,0.047,0.041,0.038,0.03,0.027,0.029,0.06,0.029
Illinois,0.064,0.059,0.058,0.05,0.042,0.037,0.104,0.062
Indiana,0.058,0.045,0.043,0.035,0.035,0.032,0.063,0.035
Iowa,0.043,0.036,0.036,0.03,0.024,0.028,0.047,0.04
Kansas,0.043,0.04,0.043,0.036,0.033,0.031,0.061,0.039
Kentucky,0.058,0.054,0.05,0.047,0.043,0.043,0.055,0.043
Louisiana,0.069,0.06,0.061,0.048,0.049,0.051,0.08,0.058
Maine,0.056,0.042,0.04,0.033,0.035,0.029,0.049,0.048
Maryland,0.056,0.051,0.042,0.04,0.038,0.035,0.07,0.058
Massachusetts,0.056,0.048,0.033,0.036,0.032,0.028,0.089,0.052
Michigan,0.067,0.051,0.05,0.047,0.039,0.039,0.082,0.063
Minnesota,0.037,0.036,0.04,0.033,0.028,0.032,0.058,0.037
Mississippi,0.073,0.064,0.057,0.049,0.047,0.056,0.072,0.058
Missouri,0.056,0.046,0.047,0.036,0.03,0.033,0.054,0.038
Montana,0.046,0.041,0.041,0.041,0.037,0.035,0.052,0.033
Nebraska,0.032,0.03,0.033,0.029,0.027,0.03,0.038,0.02
Nevada,0.073,0.066,0.054,0.049,0.045,0.037,0.13,0.075
New Hampshire,0.041,0.033,0.028,0.026,0.024,0.026,0.055,0.029
New Jersey,0.064,0.052,0.049,0.047,0.039,0.036,0.078,0.071
New Mexico,0.063,0.065,0.068,0.06,0.049,0.048,0.086,0.069
New York,0.06,0.05,0.049,0.047,0.038,0.039,0.1,0.071
North Carolina,0.058,0.057,0.051,0.044,0.037,0.037,0.073,0.043
North Dakota,0.027,0.027,0.031,0.026,0.026,0.024,0.047,0.035
Ohio,0.053,0.046,0.05,0.05,0.046,0.041,0.074,0.053
Oklahoma,0.042,0.042,0.05,0.041,0.031,0.033,0.057,0.03
Oregon,0.069,0.057,0.049,0.042,0.041,0.035,0.075,0.047
Pennsylvania,0.053,0.049,0.055,0.048,0.042,0.046,0.071,0.062
Rhode Island,0.072,0.056,0.053,0.045,0.039,0.035,0.109,0.052
South Carolina,0.066,0.055,0.045,0.042,0.032,0.024,0.054,0.041
South Dakota,0.033,0.031,0.029,0.034,0.029,0.034,0.04,0.029
Tennessee,0.066,0.056,0.049,0.033,0.034,0.033,0.079,0.044
Texas,0.048,0.045,0.047,0.04,0.037,0.035,0.079,0.056
Utah,0.037,0.035,0.033,0.032,0.031,0.025,0.042,0.024
Vermont,0.042,0.037,0.032,0.029,0.026,0.024,0.046,0.028
Virginia,0.05,0.042,0.041,0.036,0.028,0.027,0.066,0.038
Washington,0.062,0.057,0.053,0.047,0.044,0.041,0.08,0.051
West Virginia,0.063,0.066,0.059,0.053,0.051,0.05,0.079,0.046
Wisconsin,0.053,0.046,0.042,0.033,0.03,0.034,0.052,0.034
Wyoming,0.044,0.043,0.051,0.041,0.042,0.037,0.057,0.045
Puerto Rico,0.139,0.121,0.119,0.106,0.084,0.079,0.086,0.083
